File;Incident ID;Incident Date;State;City Or County;Address;Victims Killed;Victims Injured;Total Victims;Suspects Killed;Suspects Injured;Suspects Arrested;Business/Location Name;FIPS;County;LZIP;Population;Crime Rate;Unemployment;PopulrVoteParty;Cost of Living;Median Income;Diversity Rank (Race);Diversity Rank (Gender)
MS;1289686;2018-12-31T00:00:00Z;Ohio;Cleveland;4462 Denison Ave;3;2;5;0;0;0;;39035;Cuyahoga County;44141.0;1236041.0;33/1000;5.14%;R;$66327.70;$70358.12;3117.0;3106.0
MS;1288376;2018-12-29T00:00:00Z;Ohio;Lima;904 S Main St;1;3;4;0;0;1;;39003;Allen County;45801.0;101115.0;40/1000;4.41%;R;$63075.41;$66157.38;2586.0;2657.0
MS;1287286;2018-12-28T00:00:00Z;Missouri;St Charles;150 Whetstone Dr;4;0;4;0;1;1;;29183;St. Charles County;63366.0;413803.0;15/1000;2.10%;R;$76693.53;$103011.19;2857.0;2935.0
MS;1284586;2018-12-24T00:00:00Z;Louisiana;Lutcher;2176 Main St;2;2;4;0;0;2;;22093;St. James Parish;70090.0;19423.0;28/1000;4.83%;R;$70770.32;$67159.55;816.0;282.0
MS;1283229;2018-12-23T00:00:00Z;Missouri;Springfield;1042 W College St;1;6;7;0;0;1;;29077;Greene County;65802.0;303293.0;62/1000;2.09%;R;$65626.59;$63136.45;2872.0;2876.0
MS;1282704;2018-12-22T00:00:00Z;Nevada;Las Vegas;3528 S Maryland Pkwy;0;4;4;0;0;0;;32003;Clark County;89018.0;2322985.0;33/1000;6.39%;D;$75364.63;$71994.88;3102.0;3117.0
MS;1279617;2018-12-18T00:00:00Z;Maryland;Baltimore;3942 Park Heights Ave;0;4;4;0;1;1;;24510;Baltimore city;21230.0;569931.0;73/1000;4.46%;D;$70955.47;$64801.96;3055.0;3025.0
MS;1277327;2018-12-15T00:00:00Z;Florida;Miami;239 NW 16th St;0;5;5;0;0;0;;12086;Miami-Dade County;33030.0;2673837.0;42/1000;2.70%;R;$84609.15;$59423.45;3129.0;3121.0
MS;1277411;2018-12-14T00:00:00Z;Colorado;Colorado Springs;700 block of Geiger Ct;1;3;4;0;0;2;;8041;El Paso County;80831.0;740567.0;31/1000;3.36%;D;$81770.59;$84155.59;2997.0;3072.0
MS;1276091;2018-12-13T00:00:00Z;Pennsylvania;Philadelphia;4505 N Broad St;0;4;4;0;0;0;;42101;Philadelphia County;19140.0;1567258.0;42/1000;5.71%;D;$78477.67;$56599.68;3098.0;3100.0
MS;1276298;2018-12-11T00:00:00Z;Louisiana;Natchitoches;Caspari St and University Pkwy;1;3;4;0;0;0;;22069;Natchitoches Parish;71411.0;36663.0;56/1000;4.09%;R;$66189.40;$49921.20;1984.0;1964.0
MS;1272855;2018-12-09T00:00:00Z;Wisconsin;Madison;3554 E Washington Ave;0;4;4;0;0;2;;55025;Dane County;53575.0;568203.0;21/1000;2.21%;D;$84673.33;$102734.98;2992.0;3023.0
MS;1273161;2018-12-08T00:00:00Z;California;Inglewood;801 S Inglewood Ave;0;5;5;0;0;0;;6037;Los Angeles County;90210.0;9721138.0;32/1000;5.17%;D;$97766.39;$78729.84;3134.0;3134.0
MS;1272106;2018-12-08T00:00:00Z;New York;Corona (Queens);89-25 130th St;0;5;5;0;0;1;;36081;Queens County;11364.0;2278029.0;21/1000;5.51%;D;$124627.90;$79063.55;3101.0;3111.0
MS;1267682;2018-12-01T00:00:00Z;Florida;Miami;NW Fifth Ave and NW Eighth St;0;5;5;0;0;0;;12086;Miami-Dade County;33030.0;2673837.0;42/1000;2.70%;R;$84609.15;$59423.45;3129.0;3121.0
MS;1266937;2018-11-26T00:00:00Z;Tennessee;Powell;Tammy Dr;0;4;4;0;0;2;;47093;Knox County;37920.0;494574.0;35/1000;2.95%;R;$68106.31;$78446.43;2882.0;2931.0
MS;1262814;2018-11-25T00:00:00Z;Alabama;Demopolis;Floyd St and Field St;2;2;4;0;0;0;;1091;Marengo County;36748.0;18745.0;29/1000;3.54%;R;$66380.65;$60636.13;1865.0;1173.0
MS;1263332;2018-11-25T00:00:00Z;California;Oakland;1000 block of 24th St;0;4;4;0;0;0;;6001;Alameda County;94545.0;1628997.0;43/1000;3.41%;D;$117679.02;$122820.72;3114.0;3116.0
MS;1263086;2018-11-25T00:00:00Z;Texas;Houston;4500 block of Yale St;1;3;4;0;0;0;;48201;Harris County;77338.0;4780913.0;41/1000;4.41%;R;$68223.99;$73169.57;3132.0;3131.0
MS;1262013;2018-11-23T00:00:00Z;Florida;Miami;5801 NW 27th Ave;2;5;7;0;0;0;;12086;Miami-Dade County;33030.0;2673837.0;42/1000;2.70%;R;$84609.15;$59423.45;3129.0;3121.0
MS;1261351;2018-11-22T00:00:00Z;Indiana;Fort Wayne;6100 block of Downingtown Dr;3;2;5;0;0;2;;18003;Allen County;46818.0;391449.0;29/1000;2.95%;R;$72079.28;$70590.18;2852.0;2874.0
MS;1260525;2018-11-21T00:00:00Z;Missouri;St Louis;4200 block of Shreve Ave;0;4;4;0;0;0;;29189;St. Louis County;63074.0;990414.0;29/1000;2.50%;R;$74576.04;$90980.90;3087.0;3086.0
MS;1258777;2018-11-19T00:00:00Z;Colorado;Denver;1200 21st Street;1;3;4;0;1;2;;8031;Denver County;80205.0;713252.0;42/1000;3.19%;D;$91534.85;$90000.27;3010.0;3054.0
MS;1258804;2018-11-19T00:00:00Z;Pennsylvania;Philadelphia;5100 block of Malcolm St;4;0;4;0;0;4;;42101;Philadelphia County;19140.0;1567258.0;42/1000;5.71%;D;$78477.67;$56599.68;3098.0;3100.0
MS;1258009;2018-11-18T00:00:00Z;California;Los Angeles (Watts);95th St and Defiance Ave;2;2;4;0;1;0;;6037;Los Angeles County;90210.0;9721138.0;32/1000;5.17%;D;$97766.39;$78729.84;3134.0;3134.0
MS;1257508;2018-11-16T00:00:00Z;Arkansas;Little Rock;4405 W 14th St;3;1;4;0;0;1;;5119;Pulaski County;72209.0;399145.0;66/1000;3.61%;R;$69854.46;$69916.59;2987.0;2971.0
MS;1256435;2018-11-14T00:00:00Z;Louisiana;Baton Rouge;4896 Gus Young Ave;3;1;4;0;0;0;;22033;East Baton Rouge Parish;71306.0;450544.0;47/1000;3.58%;R;$74028.10;$76136.07;3048.0;2973.0
MS;1254225;2018-11-13T00:00:00Z;New Mexico;Gallup;CR 1 and Defiance Draw Rd;3;1;4;1;0;0;;35031;McKinley County;87301.0;69830.0;35/1000;6.03%;D;$62525.68;$40496.99;2928.0;2701.0
MS;1254084;2018-11-12T00:00:00Z;North Carolina;Dunn;4640 Woods Crossroads Rd;3;1;4;0;0;1;;37085;Harnett County;27546.0;138832.0;19/1000;4.27%;D;$71335.84;$66125.55;1355.0;2474.0
MS;1253361;2018-11-11T00:00:00Z;Arizona;Globe;598 N Broad St;3;1;4;0;0;1;;4007;Gila County;85539.0;53922.0;40/1000;4.35%;D;$73570.06;$52807.61;2809.0;2595.0
MS;1249561;2018-11-07T00:00:00Z;California;Thousand Oaks;99 Rolling Oaks Dr;12;2;14;1;0;0;;6111;Ventura County;93010.0;832605.0;22/1000;3.82%;D;$105247.24;$102284.20;3105.0;3087.0
MS;1246727;2018-11-03T00:00:00Z;New York;Watertown;136 Franklin St;0;5;5;0;0;1;;36045;Jefferson County;13618.0;116637.0;20/1000;4.18%;D;$84814.99;$64186.89;2170.0;2573.0
