File,Incident ID,Incident Date,Day,Month,Year,State,City Or County,Address,Victims Killed,Victims Injured,Total Victims,Suspects Killed,Suspects Injured,Suspects Arrested,Business/Location Name,County
MS,1289686,2018-12-31T00:00:00Z,31,12,2018,Ohio,Cleveland,4462 Denison Ave,3,2,5,0,0,0,,Cuyahoga County
MS,1288376,2018-12-29T00:00:00Z,29,12,2018,Ohio,Lima,904 S Main St,1,3,4,0,0,1,,Allen County
MS,1287286,2018-12-28T00:00:00Z,28,12,2018,Missouri,St Charles,150 Whetstone Dr,4,0,4,0,1,1,,Saint Charles County
MS,1284586,2018-12-24T00:00:00Z,24,12,2018,Louisiana,Lutcher,2176 Main St,2,2,4,0,0,2,,St. James Parish
MS,1283229,2018-12-23T00:00:00Z,23,12,2018,Missouri,Springfield,1042 W College St,1,6,7,0,0,1,,Greene County
MS,1282704,2018-12-22T00:00:00Z,22,12,2018,Nevada,Las Vegas,3528 S Maryland Pkwy,0,4,4,0,0,0,,Clark County
MS,1279617,2018-12-18T00:00:00Z,18,12,2018,Maryland,Baltimore,3942 Park Heights Ave,0,4,4,0,1,1,,Baltimore City
MS,1277327,2018-12-15T00:00:00Z,15,12,2018,Florida,Miami,239 NW 16th St,0,5,5,0,0,0,,Miami-Dade County
MS,1277411,2018-12-14T00:00:00Z,14,12,2018,Colorado,Colorado Springs,700 block of Geiger Ct,1,3,4,0,0,2,,El Paso County
MS,1276091,2018-12-13T00:00:00Z,13,12,2018,Pennsylvania,Philadelphia,4505 N Broad St,0,4,4,0,0,0,,Philadelphia County
MS,1276298,2018-12-11T00:00:00Z,11,12,2018,Louisiana,Natchitoches,Caspari St and University Pkwy,1,3,4,0,0,0,,Natchitoches Parish
MS,1272855,2018-12-09T00:00:00Z,09,12,2018,Wisconsin,Madison,3554 E Washington Ave,0,4,4,0,0,2,,Dane County
MS,1273161,2018-12-08T00:00:00Z,08,12,2018,California,Inglewood,801 S Inglewood Ave,0,5,5,0,0,0,,Los Angeles County
MS,1272106,2018-12-08T00:00:00Z,08,12,2018,New York,Corona (Queens),89-25 130th St,0,5,5,0,0,1,,Queens County
MS,1267682,2018-12-01T00:00:00Z,01,12,2018,Florida,Miami,NW Fifth Ave and NW Eighth St,0,5,5,0,0,0,,Miami-Dade County
MS,1266937,2018-11-26T00:00:00Z,26,11,2018,Tennessee,Powell,Tammy Dr,0,4,4,0,0,2,,Knox County
MS,1262814,2018-11-25T00:00:00Z,25,11,2018,Alabama,Demopolis,Floyd St and Field St,2,2,4,0,0,0,,Marengo County
MS,1263332,2018-11-25T00:00:00Z,25,11,2018,California,Oakland,1000 block of 24th St,0,4,4,0,0,0,,Alameda County
MS,1263086,2018-11-25T00:00:00Z,25,11,2018,Texas,Houston,4500 block of Yale St,1,3,4,0,0,0,,Harris County
MS,1262013,2018-11-23T00:00:00Z,23,11,2018,Florida,Miami,5801 NW 27th Ave,2,5,7,0,0,0,,Miami-Dade County
MS,1261351,2018-11-22T00:00:00Z,22,11,2018,Indiana,Fort Wayne,6100 block of Downingtown Dr,3,2,5,0,0,2,,Allen County
MS,1260525,2018-11-21T00:00:00Z,21,11,2018,Missouri,St Louis,4200 block of Shreve Ave,0,4,4,0,0,0,,St. Louis County
MS,1258777,2018-11-19T00:00:00Z,19,11,2018,Colorado,Denver,1200 21st Street,1,3,4,0,1,2,,Denver County
MS,1258804,2018-11-19T00:00:00Z,19,11,2018,Pennsylvania,Philadelphia,5100 block of Malcolm St,4,0,4,0,0,4,,Philadelphia County
MS,1258009,2018-11-18T00:00:00Z,18,11,2018,California,Los Angeles (Watts),95th St and Defiance Ave,2,2,4,0,1,0,,County not found
MS,1257508,2018-11-16T00:00:00Z,16,11,2018,Arkansas,Little Rock,4405 W 14th St,3,1,4,0,0,1,,Pulaski County
MS,1256435,2018-11-14T00:00:00Z,14,11,2018,Louisiana,Baton Rouge,4896 Gus Young Ave,3,1,4,0,0,0,,East Baton Rouge Parish
MS,1254225,2018-11-13T00:00:00Z,13,11,2018,New Mexico,Gallup,CR 1 and Defiance Draw Rd,3,1,4,1,0,0,,McKinley County
MS,1254084,2018-11-12T00:00:00Z,12,11,2018,North Carolina,Dunn,4640 Woods Crossroads Rd,3,1,4,0,0,1,,Harnett County
MS,1253361,2018-11-11T00:00:00Z,11,11,2018,Arizona,Globe,598 N Broad St,3,1,4,0,0,1,,Gila County
MS,1249561,2018-11-07T00:00:00Z,07,11,2018,California,Thousand Oaks,99 Rolling Oaks Dr,12,2,14,1,0,0,,Ventura County
MS,1246727,2018-11-03T00:00:00Z,03,11,2018,New York,Watertown,136 Franklin St,0,5,5,0,0,1,,Jefferson County
MS,1247019,2018-11-02T00:00:00Z,02,11,2018,California,Long Beach (North Long Beach),5800 block of Brayton Ave,0,4,4,0,0,0,,County not found
MS,1246489,2018-11-02T00:00:00Z,02,11,2018,Florida,Tallahassee,1950 Thomasville Rd,2,4,6,1,0,0,,Leon County
MS,1245274,2018-11-01T00:00:00Z,01,11,2018,Missouri,Springfield,906 E Locust St,3,2,5,0,0,1,,Greene County
MS,1245703,2018-11-01T00:00:00Z,01,11,2018,Minnesota,Minneapolis,3400 block of Girard Ave N,0,5,5,0,0,0,,Hennepin County
MS,1244754,2018-10-31T00:00:00Z,31,10,2018,Michigan,Detroit,19000 block of Langholm St,1,3,4,0,0,1,,Wayne County
MS,1246059,2018-10-30T00:00:00Z,30,10,2018,California,Vallejo,Woodrow Ave and Reis Ave,2,3,5,0,0,0,,Solano County
MS,1244424,2018-10-30T00:00:00Z,30,10,2018,California,Los Angeles,65th Place and Vermont Avenue,0,5,5,0,0,0,,Los Angeles County
MS,1243331,2018-10-29T00:00:00Z,29,10,2018,California,Riverside,3252 Mission Inn Ave,0,7,7,0,0,0,,Riverside County
MS,1243010,2018-10-28T00:00:00Z,28,10,2018,Arkansas,El Dorado,2 Whites Quarters,2,2,4,0,0,1,,Union County
